miningStation	1:1	Isometric view of one compact mining station, a wooden headframe rig over a mine hole, a small ore cart on short rails and a pile of blue ore chunks. It stands on a flat rectangular base plate divided into exactly 1 by 2 grid cells with a subtle grid line, plate corners may be rounded, nothing extends beyond the base plate
workshop	1:1	Isometric view of one big wooden workshop factory, blue gabled roof, timber scaffolding with a small crane arm, work benches with planks and tools in the open yard part. It stands on a flat square base plate divided into exactly 3 by 3 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
dock	1:1	Isometric view of one large wooden shipyard dock, wide plank platform with a big wooden crane, cargo crates and one low poly sailing ship with white sails moored alongside, the whole scene composed as one compact building asset. It sits on a flat square base plate divided into exactly 6 by 6 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
granary	1:1	Isometric view of one round grain silo warehouse, white stone cylindrical body with a warm orange conical roof, small wooden side door and a few grain sacks. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
restaurant	1:1	Isometric view of one cozy small restaurant, red and white striped awning, two tiny outdoor wooden tables with parasols and a small chimney. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
shop	1:1	Isometric view of one small market shop, blue and white striped awning over a display counter with colorful goods and a hanging wooden sign board. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
citizenCenter	1:1	Isometric view of one grand town hall civic center, symmetric building with a central clock tower, two side wings with blue roofs, wide entrance stairs and a tiny plaza. It stands on a flat square base plate divided into exactly 4 by 4 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
residence_01	1:1	Isometric view of one small residential block, two cute cottages with orange and blue roofs and a tiny shared yard with a tree. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
residence_02	1:1	Isometric view of one small residential block on an L-shaped base plate, the plate is made of exactly four grid cells arranged as a row of three cells plus one cell attached under the leftmost cell forming a clear L shape, cute cottages with orange and blue roofs following the L shape, subtle grid lines on the plate, plate corners may be rounded, nothing extends beyond the L-shaped base plate
residence_03	1:1	Isometric view of one small residential block on a U-shaped concave base plate, the plate is made of exactly five grid cells arranged as a back row of three cells with two cells extending forward from both ends leaving the middle front cell empty as a small courtyard gap, cute cottages with orange and blue roofs following the U shape around the courtyard, subtle grid lines on the plate, plate corners may be rounded, nothing extends beyond the U-shaped base plate
logisticsPoint	1:1	Isometric view of one small logistics depot, stacked wooden crates and barrels, a small loading crane arm and a wind flag on a pole. It stands on a flat square base plate divided into exactly 2 by 2 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
logisticsHub	1:1	Isometric view of one large logistics warehouse hub, wide building with big loading dock doors, stacked cargo crates on a small yard and a tall mooring mast with a wind sock. It stands on a flat square base plate divided into exactly 4 by 4 grid cells with subtle grid lines, plate corners may be rounded, nothing extends beyond the base plate
